Name,Nationality,Position,Club,Overall Rating,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age
Emily Davis,Republic of Ireland,Goalkeeper,Fiorentina,86,75,55,74,76,60,73,35
pani Karina Narożny,Poland,Defender,Rayo Vallecano,83,69,64,69,69,63,77,26
최지민,South Korea,Goalkeeper,Olympique Lyon,80,80,64,70,70,66,72,40
Courtney Chen,Bangladesh,Goalkeeper,Grêmio,79,74,59,71,83,65,66,39
Erin Shields,Norway,Midfielder,Liverpool,83,73,60,78,82,56,71,39
Lee Huff,Uruguay,Midfielder,Bayer Leverkusen,87,63,65,71,76,59,73,29
Sarah Jones,Serbia,Defender,Galatasaray,78,77,65,78,66,65,61,34
Courtney Bailey,Senegal,Midfielder,Aston Villa,80,72,71,69,75,61,76,19
Daphne Huls,Netherlands,Defender,Galatasaray,77,78,62,71,71,63,88,39
Kara Frazier,Guinea,Forward,Grêmio,78,64,66,67,73,63,76,24
Daniel Abreu,Portugal,Defender,Nottingham Forest,84,69,74,69,74,61,81,32
Amanda Kelley,USA,Goalkeeper,Rayo Vallecano,81,75,65,72,82,55,74,31
Eric Andrews II,Kenya,Defender,Juventus,83,80,69,64,75,60,75,33
Luz Isabel Calderón,Colombia,Midfielder,Retired,85,65,59,61,79,53,80,29
Jeff Johnson,Egypt,Forward,Chicago Fire,80,77,63,68,73,64,67,18
Michelle Noble,Santos,Goalkeeper,Fulham,83,73,65,65,85,53,69,20
Michael Campbell,USA,Goalkeeper,Grêmio,79,73,69,78,66,62,80,33
Erica Walton DDS,Georgia,Forward,Juventus,85,73,75,69,67,61,80,38
Ricardo Santos,Portugal,Defender,Olympique Lyon,83,76,74,78,83,63,82,32
Michael Jensen,Morocco,Goalkeeper,Leeds United,79,81,69,68,79,55,78,35
Joseph Green,Scotland,Midfielder,Fiorentina,81,81,64,77,84,65,68,21
Donna Burke,Nigeria,Midfielder,Aston Villa,84,71,64,76,80,58,76,33
Josipa Brandić,Croatia,Goalkeeper,Juventus,79,68,74,55,70,54,66,36
Helena Curiel Alfaro,Mexico,Goalkeeper,Juventus,81,74,61,80,70,56,71,33
Sonia Philippart,Belgium,Goalkeeper,Flamengo,80,69,68,68,79,63,77,40
Chelsea Burton,Kenya,Midfielder,AC Milan,83,67,59,68,76,51,73,37
Miss Abigail Tyler,England,Forward,Al-Sadd,81,75,60,71,72,61,80,32
Kimberly Thompson,Georgia,Forward,Leicester City,83,81,65,69,72,61,64,29
Sr. Marcelo das Neves,Brazil,Goalkeeper,Aston Villa,80,79,63,75,75,63,77,20
Józef Bartoszczyk,Poland,Midfielder,Vissel Kobe,82,65,71,79,73,61,78,34
Anthony Harris,Slovenia,Defender,Chittagong Abahani,79,65,65,72,80,57,76,29
Jean-Claude Henry,Belgium,Midfielder,Galatasaray,84,72,71,72,70,58,78,36
Russell Ramos,Slovakia,Forward,Retired,81,67,61,64,71,65,77,24
Liliana Badoglio,Italy,Forward,Inter Milan,82,69,68,65,79,63,86,28
Maria Liz Borges,Brazil,Defender,Ajax,76,74,60,70,85,52,68,19
Jacob Garcia,Austria,Goalkeeper,Wolverhampton,80,69,61,63,74,67,71,40
Julie Berthelot-Martins,France,Midfielder,Grêmio,83,71,64,69,67,63,72,22
Rolf Hansson,Sweden,Defender,Chittagong Abahani,85,71,58,74,81,57,70,36
Rolando José Tijerina Crespo,Mexico,Forward,Udinese,77,69,65,63,78,61,65,21
Nicole Sousa,Brazil,Goalkeeper,Ajax,77,74,74,74,75,57,77,29
Jason Harvey,Serbia,Forward,Al-Rayyan,88,72,63,73,77,54,78,31
Angelina Ciro Mansilla,Argentina,Midfielder,Galatasaray,79,69,66,73,85,51,83,23
James Elliott,Republic of Ireland,Defender,Al-Rayyan,82,72,73,75,83,52,70,33
Darlene Johnson,Slovenia,Midfielder,OGC Nice,78,74,73,77,74,58,77,37
Fabiola Vidal,Chile,Forward,Udinese,87,81,63,70,71,64,74,35
Adam Dawson,Bangladesh,Forward,Espanyol,76,76,62,70,82,60,69,26
Billy Taylor,Serbia,Defender,Al-Ahli,79,64,64,78,64,55,72,18
Sara Sedlar,Croatia,Midfielder,Nottingham Forest,83,71,73,76,75,50,66,27
Janet Rodriguez,Serbia,Defender,Liverpool,83,66,58,74,74,59,72,38
Julie Padilla,Morocco,Defender,Benfica,79,64,63,74,76,63,65,22
Shirley Hart,USA,Forward,Trabzonspor,78,84,57,71,87,65,77,22
Ella Mathieu,Netherlands,Midfielder,Fiorentina,82,70,69,81,78,58,87,34
Harald Petersson,Sweden,Forward,PSG,80,72,62,65,81,60,63,19
Debra Schwartz,Serbia,Forward,Al-Sadd,82,76,64,68,76,61,71,19
Joshua Wells,Nigeria,Midfielder,Al-Hilal,79,70,70,76,76,61,77,21
Dra. Sara Abreu,Brazil,Midfielder,Tottenham,76,85,74,65,69,58,70,32
Jose Soto,Scotland,Goalkeeper,Watford,85,72,63,66,73,65,74,20
Hr Bøje Schmidt,Denmark,Defender,Aston Villa,80,76,61,70,74,61,67,39
John Nguyen,Kenya,Goalkeeper,Udinese,82,76,69,71,77,65,73,30
Caitlin Harris,Guinea,Forward,Flamengo,79,75,66,83,69,63,73,29
Alexandria Marshall,Austria,Goalkeeper,PSG,81,75,61,80,75,63,76,35
Birgitta Karlsson,Sweden,Defender,Al-Rayyan,76,68,66,75,78,65,77,35
Jennifer Sanchez,Guinea,Forward,Leicester City,79,76,62,69,79,58,80,37
Olivia Jensen,USA,Midfielder,Atlético Madrid,77,68,67,73,69,63,82,31
Ubaldo Bombieri,Italy,Midfielder,Arsenal,75,72,67,72,79,59,72,29
Travis Thompson,Serbia,Defender,Santos,87,76,69,70,75,69,69,33
Mateus Campos,Portugal,Goalkeeper,Real Betis,86,72,66,72,72,62,70,22
Anthony Campbell,Georgia,Midfielder,Inter Milan,79,77,64,66,77,54,76,31
Robert Allen,Slovenia,Midfielder,Al-Hilal,80,68,55,71,78,52,72,29
Kristina Perry,Guinea,Midfielder,PSV Eindhoven,84,72,73,65,74,54,67,34
Harry Rodriguez,Cameroon,Goalkeeper,Olympique Marseille,84,78,58,76,83,57,66,36
Rebecca Compton,Cameroon,Goalkeeper,RB Leipzig,79,72,65,68,87,51,70,28
pani Kamila Konieczek,Poland,Goalkeeper,Manchester City,79,75,68,73,78,67,63,37
Lynn Dixon,Slovakia,Forward,Leicester City,88,76,65,59,71,61,73,20
Donald Davis,Nigeria,Defender,Santos,83,76,67,69,69,63,78,19
Charles Gimenez,France,Defender,Real Betis,88,67,69,69,79,64,73,35
Martha Shah,Switzerland,Defender,AS Roma,78,70,58,70,74,58,67,29
Michael Clark Jr.,Bangladesh,Goalkeeper,Nottingham Forest,82,75,69,75,72,51,74,31
백지현,South Korea,Goalkeeper,Atletico Madrid,80,81,60,71,77,62,69,38
pan Leon Misior,Poland,Goalkeeper,Al-Ittihad,79,67,70,70,74,63,75,27
Ann Walker,Serbia,Goalkeeper,Real Sociedad,79,72,70,71,76,59,75,18
Gregory Wilson,Austria,Forward,Chicago Fire,82,73,63,68,80,65,75,22
Shawn Gates,Uruguay,Forward,Al-Sadd,76,75,67,72,69,61,68,37
Prof. Hertha Röhrdanz B.Eng.,Germany,Midfielder,Fiorentina,80,72,64,63,81,59,84,29
Karina Delia Bonilla Caballero,Mexico,Goalkeeper,Aston Villa,84,68,63,70,82,48,72,30
Jesse Schultz,Norway,Goalkeeper,Abahani Limited,83,81,63,67,85,57,71,26
Casey Smith,Norway,Forward,Manchester City,81,71,62,65,77,73,71,36
Mary Reynolds,Morocco,Goalkeeper,Espanyol,83,72,66,82,76,52,71,20
Natividad Garcés Porcel,Spain,Midfielder,Wrexham,78,74,67,71,81,67,75,21
Kenneth Wilson,Northern Ireland,Defender,Bayern Munich,81,63,70,72,71,53,74,23
Stacy Cook,Santos,Forward,Leeds United,88,79,72,80,80,58,74,22
Baldomero Heredia Lillo,Spain,Defender,Real Sociedad,83,70,63,72,80,66,71,32
Emiro Rivera,Colombia,Defender,Al-Sadd,82,67,64,75,70,64,85,33
Veronica Macias,Santos,Midfielder,Ajax,84,71,67,80,81,55,75,33
Lunna Alves,Brazil,Defender,Real Madrid,81,80,73,71,74,63,68,27
Sally Miller,Slovakia,Goalkeeper,Watford,80,75,66,73,72,56,80,22
Dominique Shepard,Ivory Coast,Goalkeeper,Real Sociedad,84,70,72,74,79,62,79,24
Dawn Nelson,Georgia,Goalkeeper,PSV Eindhoven,81,77,68,68,71,56,81,18
Lauren Moss,Georgia,Goalkeeper,Atlético Madrid,82,75,61,72,66,58,83,19
Guy Owens,Scotland,Defender,Flamengo,82,67,69,75,75,59,77,18
Richard Parker Jr.,Georgia,Forward,Burnley,81,75,70,73,88,53,73,36
Pietro Fonseca,Brazil,Goalkeeper,Roma,83,73,65,72,79,65,70,33
송순옥,South Korea,Forward,Abahani Limited,73,72,71,61,81,63,69,32
Henri Poirier Le De Oliveira,France,Forward,Montreal Impact,82,72,60,82,82,50,83,34
Heidi Collins,Cameroon,Forward,Chittagong Abahani,84,77,65,63,74,58,77,34
Lamberto Merisi,Italy,Midfielder,Leipzig,82,68,63,71,77,59,70,35
Chad Clay,Algeria,Forward,Al-Ahli,78,74,70,70,70,55,71,32
Jesús Ruiz Rodríguez,Colombia,Goalkeeper,Nottingham Forest,82,82,62,73,75,65,78,19
Bradley Hebert,Nigeria,Forward,Wrexham,79,72,69,73,72,58,86,18
Eduardo Barbosa,Brazil,Forward,Everton,83,60,65,66,71,54,74,28
Hilary Gibson,England,Midfielder,Al-Ittihad,80,76,78,77,81,55,66,36
Michele Williamson,Slovenia,Forward,LA Galaxy,84,70,67,73,71,54,61,35
박지후,South Korea,Goalkeeper,Villarreal,80,65,66,68,77,54,71,21
Vicente Matos,Portugal,Defender,Chicago Fire,77,73,66,70,75,60,76,39
Dott. Lauretta Gregorio,Italy,Defender,Leeds United,81,78,61,70,71,64,69,35
Ettore Gucci,Italy,Goalkeeper,Atletico Madrid,76,68,69,69,73,65,72,20
Zachary Arellano,Santos,Goalkeeper,Al-Sadd,83,74,73,67,81,59,71,25
Clara Melo,Colombia,Goalkeeper,Tottenham,86,68,70,70,78,53,78,31
Denise Garcia,Ecuador,Goalkeeper,Fulham,82,67,58,66,83,58,74,19
Chad Hall,Algeria,Goalkeeper,Santos,75,78,70,78,71,67,68,21
Uma  Gonzalez,Argentina,Defender,Al-Nassr,80,79,64,70,81,56,77,37
Benjamin Webb,Georgia,Midfielder,Barcelona,78,73,70,74,73,66,74,39
John Hahn,Senegal,Forward,Galatasaray,85,84,71,63,74,54,72,20
Ian Martinez Martinez,Argentina,Midfielder,Manchester City,85,74,67,67,74,51,73,27
Lindsey Beck,Morocco,Defender,Crystal Palace,84,71,60,77,75,56,68,38
Yaiza del Sarmiento,Spain,Defender,Everton,77,79,70,71,77,58,67,22
Tyler Moore,Santos,Midfielder,PSG,78,74,71,72,81,67,71,20
Kiara Moon MD,Slovenia,Defender,Borussia Mönchengladbach,83,76,78,80,80,59,75,35
Sara Lucić,Croatia,Midfielder,Newcastle United,87,80,69,61,72,56,61,23
Kimberly Floyd,Serbia,Defender,Watford,85,69,68,76,78,57,73,34
Kelsey Campbell,Ecuador,Defender,Fulham,78,76,65,65,73,63,70,22
Pamela Koch DDS,Cameroon,Defender,Rayo Vallecano,79,69,67,73,75,57,77,20
Hannah Romero,Nigeria,Goalkeeper,Saif SC,84,77,65,74,70,54,68,28
Laura Mcpherson,Norway,Midfielder,Inter Miami,77,66,67,69,74,51,71,21
Maarten Heyne,Netherlands,Midfielder,Juventus,81,70,63,84,75,52,78,40
Marianne Lind,Sweden,Defender,Montreal Impact,82,72,59,75,75,58,74,37
Justin Crawford,Santos,Forward,Watford,80,74,69,65,75,58,72,19
Isabel Sara Rodríguez Muñoz,Colombia,Midfielder,Flamengo,76,70,62,69,85,58,75,36
Thomas Mcgee,Egypt,Forward,Wrexham,83,79,64,72,64,65,82,22
Emma Lopez,Uruguay,Defender,Ajax,78,82,62,73,76,52,75,36
Sandra Kay-Moore,England,Defender,Grêmio,81,74,71,78,74,59,70,27
pan Ernest Andrys,Poland,Goalkeeper,Santos,80,65,78,72,82,67,75,35
Mario Nelson,USA,Midfielder,Flamengo,83,75,68,73,70,54,79,35
Shelby Leonard,Norway,Goalkeeper,Chelsea,78,82,73,81,72,62,74,23
Eddie Hill,Serbia,Forward,Olympique Marseille,90,72,66,77,66,58,70,31
Aimee Coates,England,Midfielder,Real Sociedad,82,75,68,69,85,66,76,29
María Karla Zapata Bahamonde,Chile,Forward,Arsenal,79,72,58,77,70,49,73,27
Emma Batista,Portugal,Forward,Newcastle United,80,71,70,64,75,58,74,29
Celia Giralt Cañellas,Spain,Defender,Liverpool,83,74,63,59,73,60,76,19
Darren Sandoval,Algeria,Midfielder,LA Galaxy,85,72,61,68,71,62,79,33
Stella Tanzini-Donatoni,Italy,Forward,Newcastle United,81,69,71,69,77,63,78,37
Erika Morais,Portugal,Midfielder,Chelsea,81,76,72,71,82,58,66,22
Mireya Aura Caballero González,Colombia,Goalkeeper,Grêmio,80,69,59,68,78,54,75,39
Thomas Jackson,Bangladesh,Defender,Leicester City,80,81,64,63,77,57,77,20
Robert Dunlap MD,Northern Ireland,Forward,Espanyol,83,77,67,73,75,56,72,20
Laura Gordon,Serbia,Forward,Inter Milan,80,70,71,76,73,54,65,39
Cassidy Hubbard,Egypt,Defender,Borussia Mönchengladbach,82,77,63,67,81,56,73,37
João Vitor Rezende,Brazil,Goalkeeper,Al-Rayyan,81,75,67,75,77,49,75,21
Christl Bender,Germany,Forward,Chittagong Abahani,85,72,59,75,78,62,75,19
Kenneth Fuller,Bangladesh,Midfielder,Al-Sadd,77,79,72,71,76,57,72,27
Charles Bullock,Slovakia,Midfielder,Manchester United,82,73,67,71,75,58,66,23
Brandon Schroeder,Egypt,Midfielder,Al-Ittihad,79,67,59,73,68,55,67,19
Jonathon Kelly,Serbia,Forward,LA Galaxy,80,82,59,65,78,62,77,23
Hunter Sloan,Switzerland,Defender,Barcelona,84,73,63,74,77,61,79,19
Sherry Williams,Cameroon,Goalkeeper,Rayo Vallecano,82,75,70,82,85,49,67,34
Edward Smith,Serbia,Goalkeeper,Borussia Mönchengladbach,80,77,68,77,74,61,72,25
Luís Matos,Portugal,Forward,Al-Nassr,79,67,65,58,69,57,71,31
Bruce Grimes,Ecuador,Defender,Saif SC,81,74,61,74,74,50,71,27
Benoît Perrier-Dos Santos,France,Goalkeeper,Borussia Mönchengladbach,87,70,64,63,78,62,74,37
Stina Friis,Denmark,Goalkeeper,Benfica,76,75,68,57,75,53,73,33
Alexander Johnson,Morocco,Forward,Watford,75,66,65,78,69,55,80,25
Samuel Vergara,Chile,Forward,Arsenal,84,69,63,75,80,60,73,24
Cynthia Osborne,Austria,Defender,Villarreal,79,75,62,71,80,64,71,36
Dr. Cynthia Nelson,Nigeria,Goalkeeper,Aston Villa,83,76,64,73,69,53,63,40
Valerie Montoya,Algeria,Forward,Crystal Palace,76,67,64,75,79,63,78,19
Pedro Oyarce Yáñez,Chile,Defender,PSV Eindhoven,83,71,62,70,83,64,67,31
Cristina Williams,Republic of Ireland,Midfielder,Watford,84,66,66,67,78,50,62,33
Luz Vega García,Colombia,Forward,Sheikh Jamal Dhanmondi Club,76,72,58,80,78,65,72,26
Jason Haas,Bangladesh,Defender,Juventus,80,79,55,78,77,53,80,29
Cesar Bryan,Ecuador,Defender,Orlando City,82,73,67,66,74,53,68,34
Kyle Boyd,Georgia,Forward,AS Roma,81,79,60,72,70,60,80,33
François Faivre,France,Defender,Vissel Kobe,82,72,69,75,68,50,77,22
Amy James,Cameroon,Goalkeeper,Manchester City,81,67,67,79,79,55,69,40
Matthieu Laurent-Étienne,France,Goalkeeper,Leicester City,81,73,63,71,80,53,73,33
Richard Nunez,Algeria,Midfielder,Olympique Lyon,80,77,69,73,85,56,75,27
Maj-Britt Carlsson,Sweden,Defender,Chittagong Abahani,78,69,54,72,59,69,77,25
Laura Nguyen DVM,Norway,Defender,Atlético Madrid,81,73,66,69,71,50,75,25
Gabrielle Montoya,Scotland,Goalkeeper,Manchester United,85,73,74,72,68,54,71,31
Diana Bennett,Georgia,Forward,Juventus,86,83,73,76,71,64,78,19
Lisandro Pires,Portugal,Defender,Chittagong Abahani,83,70,59,75,81,64,79,20
Eustaquio Pellicer Otero,Spain,Midfielder,Liverpool,78,87,70,75,69,60,68,35
Tiffany Brown,Scotland,Forward,Real Sociedad,79,74,62,76,76,65,75,20
Darin Duarte,Bangladesh,Midfielder,Bayer Leverkusen,85,69,61,73,75,53,77,22
Stacy Moore,Uruguay,Goalkeeper,Al-Hilal,88,62,62,72,85,61,71,36
Jessica Mcneil,Guinea,Forward,Fulham,80,78,61,69,69,52,74,27
Lorenzo Facundo Alvarez Farias,Argentina,Goalkeeper,Juventus,79,80,61,63,76,64,67,27
Thomas Olson,Morocco,Forward,Al-Rayyan,82,76,67,74,75,54,82,34
Eric Alexander,Morocco,Defender,Grêmio,85,73,66,78,74,57,73,24
Konstanty Sieczko,Poland,Midfielder,Manchester City,84,75,59,74,77,65,76,34
Paul Case,Uruguay,Goalkeeper,Burnley,88,66,74,69,70,57,76,28
Dr. Henry Jacobsen,Denmark,Forward,Fiorentina,78,76,56,78,78,55,66,26
Olgierd Fryś,Poland,Forward,Barcelona,80,77,60,72,70,61,63,29
Debbie Huerta,Slovenia,Goalkeeper,Grêmio,87,78,68,70,72,60,74,20
Fiene van Ham,Netherlands,Defender,Real Madrid,83,68,64,75,79,53,70,39
Jaime Perez,Uruguay,Forward,Napoli,83,82,69,77,73,57,66,36
Ryan Moyer,Georgia,Goalkeeper,Liverpool,85,67,62,78,77,57,71,23
Amanda Lucas,Nigeria,Goalkeeper,Espanyol,79,70,72,72,77,67,82,24
Kathryn Johnson-Walker,England,Goalkeeper,Espanyol,81,73,65,75,70,51,75,27
Bent Olsen,Denmark,Midfielder,Manchester United,88,76,66,79,72,56,70,31
Andreas Holmström,Sweden,Midfielder,Newcastle United,80,79,58,74,78,58,78,30
Cynthia Henson,Cameroon,Defender,Flamengo,82,66,64,63,74,61,76,22
Cathy Davis,Guinea,Midfielder,Orlando City,81,71,67,75,71,63,72,37
Margaret Vaughan,Slovakia,Defender,Bayern Munich,80,73,65,63,78,52,71,21
Filipa Coelho,Portugal,Midfielder,Borussia Mönchengladbach,80,74,67,72,74,58,73,30
Brandon Johnson,Morocco,Goalkeeper,Juventus,86,76,57,76,73,49,64,22
Diane Schwital,Germany,Midfielder,Crystal Palace,85,68,66,75,75,47,77,23
Sara Johnson,Santos,Forward,Olympique Lyon,79,75,69,74,71,57,76,31
Daisy Rose,Algeria,Defender,Atletico Madrid,90,74,65,72,74,55,66,40
Marthe Gaudin,France,Defender,Saif SC,80,80,63,76,72,60,73,34
Marcel Bertin-Lebrun,France,Midfielder,RB Leipzig,77,73,57,65,69,61,74,38
Timothée-Roger Pons,France,Defender,Barcelona,83,80,54,73,74,55,81,21
Louis Andrews,Serbia,Midfielder,Santos,88,73,63,66,67,63,78,38
Ing. Blanka Keudel B.Eng.,Germany,Midfielder,Flamengo,83,80,67,65,74,49,70,38
Lynn Wong,Slovenia,Defender,Retired,83,68,66,76,79,54,75,35
Randy Turner,Santos,Defender,Tottenham,81,65,57,61,67,54,66,37
Christopher Woods,Georgia,Goalkeeper,Leicester City,83,70,63,74,71,60,78,36
Miss Eileen Robinson,England,Defender,Burnley,82,79,66,69,76,59,81,21
Marguerite de Jacquot,France,Defender,Udinese,85,69,57,79,70,65,76,33
Octavio Prado,Mexico,Goalkeeper,Villarreal,82,79,61,72,77,53,75,24
Karen White,Morocco,Defender,Villarreal,85,74,59,71,77,60,74,36
Anthony Hunt,Uruguay,Midfielder,Chittagong Abahani,80,76,63,78,82,49,82,32
Aaron Garrison,Ecuador,Defender,Burnley,77,73,65,77,83,59,76,26
Kelly Strickland,Georgia,Defender,Flamengo,84,75,64,73,72,53,70,30
Callum Patel,England,Defender,Napoli,81,74,62,77,68,58,79,36
Sylvia Cooke,England,Midfielder,Leicester City,85,77,66,77,79,53,66,19
Selena Lara,Kenya,Defender,Watford,80,73,69,67,74,51,82,23
Rafael Gabriel Aguilar Cáceres,Chile,Defender,Benfica,77,72,70,72,74,61,73,33
Misty Chandler,Algeria,Midfielder,Udinese,85,85,66,70,72,58,79,30
Rebecca Oneill,Uruguay,Forward,Udinese,87,69,63,69,74,58,69,25
Cheryl Jones,Norway,Goalkeeper,Leicester City,77,68,62,73,73,60,79,36
Dr Clive Price,England,Midfielder,Fulham,83,68,53,71,75,64,85,30
Ana Collins,Scotland,Goalkeeper,Manchester United,83,84,64,65,72,57,72,23
박영진,South Korea,Midfielder,Real Madrid,79,76,72,65,73,61,75,18
José Paiva,Portugal,Goalkeeper,Real Sociedad,83,78,59,66,77,52,75,33
Courtney Fletcher,Algeria,Defender,Vissel Kobe,80,71,56,76,79,64,79,36
Miranda Stafford,Switzerland,Defender,Al-Sadd,80,66,59,65,77,67,74,22
Alfredo Angélica Bustos Reyes,Mexico,Goalkeeper,Al-Ittihad,81,70,67,86,80,62,86,33
Colton Johnson,Bangladesh,Goalkeeper,RB Leipzig,80,72,65,68,75,49,74,36
Joseph Jenkins,Slovakia,Forward,Atlético Madrid,79,76,66,81,86,47,74,31
Fernando Ariel Reyes Espinoza,Chile,Midfielder,Inter Miami,79,78,57,75,72,53,70,28
Vanessa Pham,Uruguay,Defender,AS Roma,80,80,63,72,69,59,75,32
Jillian Lynch,Austria,Goalkeeper,Sevilla,84,77,55,62,78,56,71,37
Jason Williams Jr.,Norway,Goalkeeper,Chicago Fire,76,65,54,70,74,52,58,30
Dr Marie Harris,England,Defender,Al-Ittihad,76,68,63,79,83,54,75,19
Kristina Johansson,Sweden,Defender,Everton,83,71,61,71,80,60,69,39
Rachel James,Senegal,Midfielder,Chittagong Abahani,84,64,59,70,73,58,71,27
Kimberly Gray,Republic of Ireland,Forward,Newcastle United,82,71,59,79,74,60,80,21
Thomas Hartman,Uruguay,Defender,Santos,84,77,61,75,77,51,70,29
Amanda Porter,Austria,Goalkeeper,Roma,90,71,80,75,80,56,75,37
Ariel Calhoun,Slovakia,Defender,Real Sociedad,79,75,63,67,75,58,70,34
Davi Lucca Silveira,Brazil,Forward,Villarreal,86,79,62,72,80,50,69,21
Michael Castro,Guinea,Forward,Manchester United,79,82,63,72,75,63,72,33
William Mendez,Serbia,Goalkeeper,Al-Nassr,82,69,67,69,79,55,68,21
Ryan Johnson,Slovakia,Forward,LA Galaxy,73,64,73,69,80,72,77,32
전지연,South Korea,Forward,Wrexham,80,79,59,66,80,64,76,24
Susan Gross,Guinea,Goalkeeper,Benfica,78,75,71,69,73,63,65,34
Tomo Kadija,Croatia,Midfielder,Nottingham Forest,75,68,73,66,80,56,70,27
Ashley Patton,Ivory Coast,Forward,LA Galaxy,80,80,71,68,79,60,75,31
Renée Chauvet,France,Forward,RB Leipzig,76,70,65,82,81,51,73,23
Josiane Blondiau,Belgium,Forward,Nottingham Forest,82,64,60,77,73,53,76,34
Ashley Austin,Morocco,Forward,PSG,85,78,76,77,79,48,70,25
Philippe Thiry,Belgium,Goalkeeper,Manchester City,85,62,68,76,72,53,71,29
Federica Errani,Italy,Goalkeeper,Retired,81,63,66,76,72,60,77,18
서아름,South Korea,Defender,Santos,78,80,69,75,74,60,70,39
Dawn Taylor,Uruguay,Forward,AS Roma,81,74,62,73,67,59,69,28
pani Sandra Poreda,Poland,Goalkeeper,Bayern Munich,78,70,66,74,68,57,75,33
Brian Villanueva,Nigeria,Goalkeeper,Villarreal,83,70,75,79,68,64,71,20
Dr. Christopher Murphy,Uruguay,Goalkeeper,Real Betis,82,76,61,71,81,51,79,34
Rachel Larson,Algeria,Goalkeeper,Everton,77,80,58,74,72,54,76,40
Patrick Santana,Austria,Midfielder,Nottingham Forest,84,74,67,73,71,59,64,24
Telmo Villegas Cifuentes,Spain,Forward,OGC Nice,84,73,64,64,80,59,74,19
Carmen Bustos,Chile,Defender,Napoli,78,74,74,75,59,61,65,32
Nils Svensson,Sweden,Defender,Newcastle United,86,69,59,63,71,54,71,32
Tricia Smith,Switzerland,Forward,AC Milan,75,82,65,76,67,57,80,24
Juana León Ferreyra,Argentina,Midfielder,Manchester United,82,72,68,75,75,52,67,32
Hasan Hande-Henschel,Germany,Goalkeeper,Borussia Mönchengladbach,86,74,62,65,73,66,69,39
Diego Esperanza Carrillo Rivas,Mexico,Defender,Al-Nassr,77,66,67,75,74,60,73,39
Donna Ramos,Santos,Defender,Crystal Palace,80,83,60,66,83,57,76,25
Sarah Nixon,Norway,Goalkeeper,Roma,81,83,69,80,78,60,72,19
Lisa Walsh,Slovenia,Goalkeeper,Inter Milan,82,67,61,71,76,67,83,32
Gianpietro Camuccini,Italy,Goalkeeper,Leeds United,79,77,67,70,78,57,73,32
Ruth Ramirez,Scotland,Midfielder,Leicester City,86,75,63,79,76,53,79,26
Sr(a). Joaquin Villalba,Argentina,Goalkeeper,Chittagong Abahani,77,80,69,76,66,54,76,33
Juliette Decamps,Belgium,Goalkeeper,Sevilla,80,78,66,74,75,64,79,31
Alvaro Luna Preciado,Mexico,Midfielder,Santos,85,72,63,79,80,58,72,36
Michael Rocha,Morocco,Defender,Juventus,81,71,69,78,68,60,71,40
Sean Todd,Morocco,Forward,Roma,84,74,70,63,69,62,74,26
Keith Johnson,Cameroon,Goalkeeper,Arsenal,80,73,69,78,77,57,73,24
Ricky Franklin,Republic of Ireland,Forward,Nottingham Forest,83,77,62,68,75,52,74,33
Luka Koški,Croatia,Midfielder,Saif SC,81,77,64,73,86,59,68,40
Linda Meadows,Guinea,Defender,Atlético Madrid,74,72,62,76,67,58,80,20
Gilbert Delannoy,France,Goalkeeper,Chicago Fire,85,75,63,78,77,51,68,33
William Evans DVM,Ecuador,Forward,Villarreal,82,64,59,73,73,54,82,39
León Jerson Manrique,Colombia,Midfielder,Olympique Marseille,83,75,63,78,88,63,79,27
Sarah Quinn,Republic of Ireland,Defender,Barcelona,87,71,66,70,77,64,73,36
Hailey Murray,Ivory Coast,Goalkeeper,Napoli,87,69,66,71,78,65,62,38
Danielle Ochoa,Northern Ireland,Goalkeeper,Benfica,78,72,69,76,84,69,82,21
Luis Alberto Pérez Sierra,Colombia,Midfielder,Watford,82,73,63,62,71,56,73,24
Morris Kuit-van den Hoek,Netherlands,Defender,Fulham,83,66,62,81,77,66,81,21
Julie Lewis,Egypt,Goalkeeper,Orlando City,76,74,57,74,82,60,84,18
Paula Shaffer,Ecuador,Goalkeeper,Real Madrid,83,76,68,68,77,52,73,37
Jessica Flores,Scotland,Goalkeeper,Borussia Mönchengladbach,89,70,71,70,72,55,71,38
Hubert Zadka,Poland,Midfielder,Bayern Munich,85,74,61,71,63,61,73,25
Patricia Townsend,Santos,Goalkeeper,Borussia Mönchengladbach,85,69,64,78,77,58,77,38
Maria Lopez,Norway,Defender,Al-Ittihad,84,78,63,72,70,58,72,29
Michelle Moore,Georgia,Midfielder,Santos,78,74,70,71,80,56,66,28
Eric Cruz,Morocco,Defender,Wrexham,86,74,60,64,75,56,73,37
Samuel Hanna,Austria,Goalkeeper,Manchester United,79,74,64,72,76,47,72,23
Isabela Costa,Portugal,Midfielder,Vissel Kobe,80,78,68,69,78,62,70,24
Kristen Lucero,USA,Defender,Al-Ahli,79,74,63,70,72,53,76,32
William Torres,Bangladesh,Goalkeeper,Nottingham Forest,81,67,75,74,81,59,72,28
pani Sara Moskalik,Poland,Midfielder,Flamengo,79,68,57,69,71,58,76,39
Patricia Buisson,France,Goalkeeper,Aston Villa,83,75,65,82,73,54,69,31
Victoria Schroeder,Slovenia,Midfielder,Nottingham Forest,80,77,61,73,72,62,78,38
